metadata.material_id,metadata.formula
mp-20352,Ba3In2O6
mp-7631,SiC
mp-8799,RbNaS
mp-11824,Ca3PN
mp-7581,MoSe2
mp-29149,Li4NCl
mp-1009085,BeSiP2
mp-24721,RbH
mp-23067,K2PdCl6
mp-29751,CsMgI3
mp-7684,Tl3AsSe3
mp-8789,Ca4As2O
mp-9900,Ag2GeS3
mp-14333,TaAlO4
mp-570485,SrAlSiH
mp-8812,Rb2GeF6
mp-24423,SrHBr
mp-3216,Li2ZrN2
mp-2469,CdS
mp-961693,ZrInAu
mp-28627,K4Br2O
mp-989625,SrWN3
mp-991652,VCu3Te4
mp-11917,Mg(BeN)2
mp-997002,KAuO2
mp-6798,Ba2NaReO6
mp-569639,TlCl
mp-989522,Mg6Bi2PN
mp-23004,CsMgCl3
mp-34169,Zn(InSe2)2
mp-31454,TaSbRu
mp-7886,Cs2RbYF6
mp-558430,BaB2F8
mp-14588,Na2PtSe2
mp-9486,K2AlF5
mp-3970,K2TiF6
mp-753287,CaCdO2
mp-867168,Sr2SbAu
mp-4820,ZrSiO4
mp-5342,GaAgS2
mp-9774,Ba4Sb2O
mp-10547,RbAuO
mp-30459,ScNiBi
mp-8861,Rb2MgF4
mp-571222,CsBr
mp-677335,GaPO4
mp-1020019,Li2PNO2
mp-7392,Na2AgSb
mp-27138,K2PdBr4
mp-561947,CsHgF3
mp-961683,LiMgP
mp-20620,Ba2NbInO6
mp-555166,BaAg2SnS4
mp-7979,K2PdF6
mp-20256,K3InP2
mp-23861,BaHCl
mp-551456,Ba2CuClO2
mp-9383,SrHfN2
mp-20782,LiInTe2
mp-10341,SrGeTeO6
mp-1009820,SnC
mp-8623,K2Te2Pt
mp-1794,BeO
mp-567680,BaCl2
mp-22916,NaBr
mp-8192,Rb2PtF6
mp-13056,Ba2LaTaO6
mp-12385,Ba2YTaO6
mp-8335,Ba2ZrO4
mp-7773,Na2AsAu
mp-753946,LiCoS2
mp-753098,LiCuF2
mp-7670,K2Se3
mp-2150,BaTe2
mp-754329,CdSnO3
mp-989571,Cs2NaInCl6
mp-989529,KRb2InCl6
mp-28020,AlCuCl4
mp-10918,Rb2PdC2
mp-7041,CaHgO2
mp-22906,CsBr
mp-19833,InAgS2
mp-1784,CsF
mp-11718,RbF
mp-961713,ZrSnPt
mp-9575,LiBeSb
mp-9270,SbIrS
mp-5431,BaTeO3
mp-4002,Li2ZrF6
mp-22660,InAgO2
mp-1340,Ga2Se3
mp-10281,ZnS
mp-37091,Sr(AlTe2)2
mp-7906,Al2HgS4
mp-571467,Cs2NaYBr6
mp-998156,RbSnCl3
mp-13099,YN
mp-2064,RbF
mp-989561,NaTl2GaF6
mp-2624,AlSb
mp-7618,Cs3YF6
mp-9718,Rb3BAs2
mp-753747,Ta3O7F
mp-15781,KLaS2
mp-997041,NaCuO2
mp-28553,Ca2IN
mp-29506,CsBiO2
mp-7439,K3Cu3P2
mp-223,GeO2
mp-27227,LiAg3O2
mp-861937,Ba2AsAu
mp-9565,Ca(MgSb)2
mp-4190,CaSnO3
mp-29403,GaCuI4
mp-979137,SrGaSiH
mp-1330,AlN
mp-3771,MgTiO3
mp-14038,Rb2NaRhF6
mp-974381,Rh2S3
mp-7090,NaMgSb
mp-23033,Sr2NCl
mp-570213,LiMgBi
mp-7650,RbScO2
mp-632319,CsH
mp-7233,La2SeO2
mp-690785,Na2H6Pt
mp-989618,Cs2RbGaF6
mp-34579,Na3HfF7
mp-27608,Be4TeO7
mp-978847,SrGaGeH
mp-570935,LiI
mp-766,As2Ru
mp-1873,ZnF2
mp-5295,LaNbO4
mp-760400,Na5BiO5
mp-2961,MgSiP2
mp-4009,BaPdS2
mp-6867,KCaCO3F
mp-998603,RbPbBr3
mp-568662,BaCl2
mp-696804,RbHS
mp-1009009,LiF
mp-3159,Al2CdSe4
mp-7667,K2S3
mp-31235,BaNaBi
mp-9317,KZrCuS3
mp-2488,SiOs
mp-10616,BaLiAs
mp-697044,Ba2H6Os
mp-550685,Ba2CaTeO6
mp-8311,Si3NiP4
mp-776532,HfO2
mp-3056,NaTlO2
mp-760417,Rb4I2O
mp-541044,CsYO2
mp-989608,Cs2NaAsCl6
mp-570256,Ag2HgI4
mp-1522,FeS2
mp-7604,Mg3NF3
mp-2008,FeAs2
mp-1009813,SiSn
mp-468,AlF3
mp-996943,Cs2NaInBr6
mp-14070,RbAlO2
mp-7173,ScSbPt
mp-6270,Ba2LiReO6
mp-8930,K2GeAs2
mp-27207,K2MgCl4
mp-31149,Ca3BiN
mp-989558,Cs2TlGaF6
mp-754596,RbGaO2
mp-555410,ZnS
mp-27369,RbGeCl3
mp-7895,Rb2O2
mp-12418,SrCaGe
mp-22935,CsBrF
mp-553310,CsCuO2
mp-961706,TiSiPt
mp-8278,Ba(MgP)2
mp-4187,Ge2N2O
mp-8880,AlP
mp-2600,BaTe
mp-3427,LiAlO2
mp-755293,Sr4Sb2O
mp-15685,Na2CuAs
mp-8175,KTlO2
mp-2030,RuS2
mp-12894,Y2SO2
mp-15788,LiYS2
mp-4124,CaCN2
mp-2133,ZnO
mp-20450,YCrB4
mp-23268,NaI
mp-9720,Rb3BP2
mp-252,BeTe
mp-10417,KSbO2
mp-23350,Rb2PtCl6
mp-736,Li3P
mp-9200,K3AuO
mp-7100,LaOF
mp-2371,Ga2Te5
mp-7849,AlAsO4
mp-975115,RbTcO4
mp-7077,KAuS
mp-22984,NaBiO2
mp-1138,LiF
mp-1479,BP
mp-983565,CuBSe2
mp-8062,SiC
mp-541226,CsBrF6
mp-9872,K4BeP2
mp-7643,K2AgSb
mp-6972,YCuO2
mp-961646,TiTeOs
mp-10748,TaCu3S4
mp-1519,CaTe
mp-573755,CsTeAu
mp-28599,Na4Br2O
mp-9687,K2PAu
mp-2319,P2Os
mp-3748,AlCuO2
mp-561561,Cs2KRhF6
mp-7067,Ca(CdAs)2
mp-15953,P2Rh
mp-6989,BaSeO3
mp-14398,CaSn(BO3)2
mp-634676,KHS
mp-9064,RbTe
mp-867203,Sr2CdAs2
mp-3125,K3Zn2F7
mp-6204,Cs2NaScF6
mp-682,NaF
mp-27421,RbBiF6
mp-8016,AlCuSe2
mp-10492,Rb2SiF6
mp-2646,Mg3Sb2
mp-4359,Sr2PdO3
mp-553025,CaBiClO2
mp-1747,K2Te
mp-569548,CsAuBr3
mp-676861,AlSbO4
mp-28145,Rb2PdCl6
mp-2172,AlAs
mp-1009792,RuC
mp-22888,CaBr2
mp-1008506,BaGaSiH
mp-7911,KCuO
mp-24292,Sr2H6Ru
mp-11919,Sr(BeN)2
mp-1009087,BeSiAs2
mp-6459,CaMg(CO3)2
mp-28602,Na3ClO
mp-1541,BeSe
mp-672,CdS
mp-553303,CsCu3O2
mp-551203,Sr2I2O
mp-28423,Ga2TeSe2
mp-1009127,MgO
mp-4782,CaSnF6
mp-998433,CsSrBr3
mp-1922,RuSe2
mp-11713,SiC
mp-22901,KI
mp-9919,LiZnSb
mp-27716,KTlO
mp-14285,CoP2
mp-989583,Rb2LiInCl6
mp-547244,SrBiClO2
mp-999498,N2
mp-12622,SrPdF4
mp-961685,NaCaAs
mp-3810,Hg(AsO3)2
mp-9570,Ca(CdP)2
mp-7394,BaAg2GeS4
mp-9385,RbAu3Se2
mp-10760,MgSe
mp-978852,SrGaSnH
mp-623024,TiCdF6
mp-28270,KCuS
mp-23091,Ba2BiSbO6
mp-13660,Ca4Sb2O
mp-31002,Rb2Te5
mp-9610,Li2CN2
mp-5860,K2HgO2
mp-1009540,OsC
mp-13031,MgSe
mp-6058,K2NaScF6
mp-19795,InS
mp-6660,BaNaBO3
mp-380,ZnSe
mp-12427,Sr2TaGaO6
mp-23956,K2MgH4
mp-1008680,TiGePt
mp-560790,Cs2NaBiF6
mp-8615,NbBO4
mp-753401,Sc2TiO5
mp-998297,CsSrBr3
mp-675902,YCuSe2
mp-15668,NaSe
mp-4524,ZnGeP2
mp-3432,ScNiSb
mp-867335,K2SbAu
mp-27315,CaTiF6
mp-1342,BaO
mp-7908,Al2ZnTe4
mp-546500,NaCNO
mp-551269,Ba2LaSbO6
mp-573721,Cs2SiAs2
mp-22483,NaInTe2
mp-8224,CaSnF6
mp-989563,Rb2NaTlCl6
mp-370,CdS
mp-7940,KNbSe2
mp-961774,BaNaSb
mp-570354,CuBr
mp-27831,Rb2ZrCl6
mp-7374,Ba(CuO)2
mp-27791,SrBe3O4
mp-21511,K2NaInP2
mp-15999,Li3AuS2
mp-33526,LiBiS2
mp-149,Si
mp-8426,K2Se
mp-8098,InGaO3
mp-5280,In2Ge2O7
mp-3247,Cs2TiS3
mp-14652,Cs2P3
mp-15896,Cu2SiSe3
mp-5238,GaCuS2
mp-9855,KHfCuS3
mp-463,KF
mp-1153,Li2S
mp-8180,LiNO3
mp-22473,NaInSe2
mp-13276,SrLiP
mp-30056,CsCaBr3
mp-4047,Cs2SiF6
mp-9567,Ba(MgSb)2
mp-22957,SrClF
mp-28111,K3NO3
mp-23197,TlI
mp-181,KGa3
mp-961661,ZrSiPd
mp-984761,CsRb2Sb
mp-9361,RbLaS2
mp-12992,BaTiO3
mp-14116,CuRhO2
mp-14983,Si4P4Ru
mp-9845,RbCaAs
mp-4666,CdSiP2
mp-4809,Ga2HgS4
mp-504838,CsPS3
mp-1143,Al2O3
mp-37216,CdPbF6
mp-7566,InPO4
mp-568273,LiI
mp-961678,ScCoTe
mp-552234,SrBiBrO2
mp-1968,La2O3
mp-14175,K3NbO8
mp-540703,Cs2S
mp-546794,SiO2
mp-23406,Cs2PtCl6
mp-3700,LiYF4
mp-9010,RbAuS
mp-8187,K2ZnO2
mp-9692,K2GeSe3
mp-23303,RbBr
mp-8932,Cs2SiP2
mp-559695,Cs2RbBiF6
mp-304,Ca2Ge
mp-989642,Cs2NaAlH6
mp-11265,BaCaSn
mp-23465,Cs2TeCl6
mp-9732,BaNaP
mp-23949,RbCaH3
mp-13925,Cs2NaYF6
mp-22937,Na4I2O
mp-1958,SrTe
mp-752580,RbNO2
mp-8200,AgP2
mp-20098,Ba2PbO4
mp-770932,LiSbO3
mp-8882,GaP
mp-12317,SrCN2
mp-864954,MgMoN2
mp-27828,Cs2TiCl6
mp-7937,NaNbS2
mp-830,GaN
mp-867261,RbSrCO3F
mp-8177,HgF2
mp-7089,KMgSb
mp-14205,K3Cu3As2
mp-997036,CdAuO2
mp-8922,Cd(SbO3)2
mp-27546,CaClF
mp-8455,CsF
mp-3038,Al2HgSe4
mp-8217,Cs2GeF6
mp-551092,KLiZnO2
mp-2552,TeO3
mp-6984,K2SiAs2
mp-1285,PtO2
mp-560588,ZnS
mp-23167,TlCl
mp-1008223,CaSe
mp-30373,RbAu
mp-3419,RbAuF4
mp-567655,Sr2C(NCl)2
mp-28243,RbLiCl2
mp-997089,NaAuO2
mp-22304,Cd(InSe2)2
mp-608555,Cs2SnCl6
mp-991676,NbCu3Te4
mp-11695,Rb2Pd3S4
mp-3070,Na2CO3
mp-5061,Li5ReO6
mp-8207,Zn(PtO2)3
mp-12442,KAuF6
mp-31451,ZrCoBi
mp-9636,CsSbF6
mp-961648,KBaP
mp-1009082,MgSnAs2
mp-10163,NaAlTe2
mp-14069,CsAlO2
mp-15157,Cs2CaF4
mp-21166,SrCaPb
mp-9348,KRb2ScF6
mp-32880,CuBr
mp-12535,K2ZnTe2
mp-5078,SrZnF4
mp-30847,TiSnPt
mp-4175,ZnSnP2
mp-24066,SrHClO
mp-3163,BaSnO3
mp-7738,LaSeF
mp-1315,MgS
mp-20459,TiPbO3
mp-989639,Cs2KInF6
mp-30456,SrLiBi
mp-20015,As2PbO6
mp-14006,BaGeF6
mp-31468,LiCaN
mp-23018,BiSbO4
mp-15776,Zn(GaSe2)2
mp-989536,Cs2LiNF6
mp-684,BaS2
mp-827,KN3
mp-1265,MgO
mp-768368,K4I2O
mp-571093,BaAlSiH
mp-22913,CuBr
mp-7863,Rb2Sn2O3
mp-539,Ga2S3
mp-5594,Sc2Si2O7
mp-4165,TaNO
mp-30250,YAgO2
mp-7770,Sr(ZnAs)2
mp-12525,Sr2LiReO6
mp-989629,CsRb2GaF6
mp-568018,RbSb2
mp-754326,NaAgO2
mp-7482,RbHgF3
mp-10246,Na2PtS2
mp-23349,Bi(BO2)3
mp-989526,Cs2KTlF6
mp-1009129,MgO
mp-14091,AlAgSe2
mp-6960,Rb2SiAs2
mp-567913,CsAuSe3
mp-774907,KLiZnS2
mp-924128,HfNiSn
mp-9437,NbFeSb
mp-27678,Y2Cl3
mp-9778,K2AgP
mp-10627,SrS
mp-11715,MgSn(BO3)2
mp-22903,RbI
mp-3839,GaCuTe2
mp-15703,BeCN2
mp-10381,K2CuSb
mp-23484,CsAuCl3
mp-9675,Cs3BP2
mp-7903,Cs2ZrF6
mp-13868,PdF4
mp-961687,ZrSnPd
mp-4824,NaZnP
mp-29463,LiBeN
mp-23040,Ca2PI
mp-8299,Sr4As2O
mp-541989,Na2CN2
mp-3448,KMgF3
mp-8703,Na3SbSe4
mp-7956,Na3Sb
mp-588,GaF3
mp-989575,Cs2AlTlH6
mp-13033,MgTe
mp-24589,K2HBrO
mp-7436,KCuTe
mp-35777,Mg(InTe2)2
mp-66,C
mp-28994,KLi2As
mp-755013,Li5TaO5
mp-556953,RbPS3
mp-568968,K2SnHgSe4
mp-697144,RbH2N
mp-7148,K2SrTa2O7
mp-6586,K2NaAlF6
mp-2979,ZnGeN2
mp-4280,GaCuO2
mp-20282,CsPbF3
mp-753260,LaAgO2
mp-19734,MgPbF6
mp-23295,RbCl
mp-9562,LiBeAs
mp-2068,RhF3
mp-862631,Ba2SbAu
mp-1106,Sr2Si
mp-422,BeS
mp-5955,NaSbF6
mp-866291,AgBr
mp-867194,Sr(MgAs)2
mp-9274,Rb3Sb2Au3
mp-9198,Fe(SiP)4
mp-684969,Sc2S3
mp-1002124,HfC
mp-22323,In2O3
mp-7611,Li2CaGeO4
mp-27999,K5CuSb2
mp-7323,RbBe2BO3F2
mp-5488,LiInO2
mp-551873,Ca4Bi2O
mp-989565,Rb2TlGaF6
mp-28302,K4CdP2
mp-8411,Na2AgAs
mp-8752,Na4CdP2
mp-10182,LiZnP
mp-30041,RbBiS2
mp-16264,LiCaSb
mp-1018100,AlSb
mp-856,SnO2
mp-14088,Rb2PdF6
mp-35220,PHN2
mp-4482,NaSbO3
mp-961673,TiFeTe
mp-989605,Cs2RbInF6
mp-1778,BeO
mp-581024,CsK2Sb
mp-754117,YHO2
mp-8361,CsTe
mp-15557,Cs2As3
mp-13983,ZnPdF6
mp-23222,Li3Bi
mp-9569,Ca(ZnP)2
mp-5478,TlPd3O4
mp-13947,Rb2HfF6
mp-1639,BN
mp-9125,Ca(SbO3)2
mp-552806,BaBiClO2
mp-11327,Rb2Se
mp-568666,RbAuI3
mp-5518,GaAgSe2
mp-6947,SiO2
mp-743,RbN3
mp-574599,CsAuSe
mp-22899,LiI
mp-5339,CsNaTe
mp-8759,Cs2ZrO3
mp-981,SrF2
mp-29151,Li5NCl2
mp-4081,TaCu3Se4
mp-2574,ZrO2
mp-27303,NaAg3O2
mp-20289,NaInS2
mp-27985,YClO
mp-8212,Cd(PtO2)3
mp-2286,Li2Se
mp-554412,RbTa(PO4)2
mp-505825,Cs2PtC2
mp-866132,Na2TlSb
mp-10086,YSF
mp-27882,Cs2GeCl6
mp-1009750,ScN
mp-20329,InAgO2
mp-7608,Li2PdO2
mp-997618,BSb
mp-733,GeO2
mp-27253,Au2O3
mp-29585,K4CdAs2
mp-570538,NaN3
mp-8934,Cs2SnAs2
mp-7505,K2P2Pd
mp-2667,CsAu
mp-7922,CaPdF6
mp-29208,Ca(MgBi)2
mp-971,K2O
mp-697038,Ba2H6Ru
mp-9250,RbLiSe
mp-5020,BaTiO3
mp-7786,CsCu3S2
mp-38117,Ba(GaTe2)2
mp-9631,AlAgO2
mp-6026,Na2Mg(CO3)2
mp-989541,Rb2NaSbF6
mp-23023,LaBrO
mp-4035,RbReO4
mp-641923,Cs2SnBr6
mp-23364,CsLiCl2
mp-3288,CsNO2
mp-4452,Cd(GaS2)2
mp-8884,ZnTe
mp-10219,YOF
mp-7104,CsCaF3
mp-7939,NaNbSe2
mp-567558,CsAgCl2
mp-27243,K2PtBr4
mp-1009220,NaH
mp-8255,CaPtF6
mp-4690,K3TaO8
mp-21228,SrCuSeF
mp-546011,YZnAsO
mp-1413,P2Ru
mp-29055,KSb2
mp-3642,ScCuO2
mp-29396,Cu2PbO2
mp-10695,ZnS
mp-23116,CuBiSeO
mp-9307,Ba2ZnN2
mp-22895,CuI
mp-7548,BaSe3
mp-441,Rb2Te
mp-570008,Sr3BiN
mp-5795,CaMg2N2
mp-550751,BaBeSiO4
mp-1287,KS
mp-1022,K2S
mp-20351,InP
mp-989531,Cs2KGaF6
mp-8874,LiSiBO4
mp-7988,Cs2O
mp-7929,Rb2PtS2
mp-755287,Ca3CdO4
mp-12623,BaPdF4
mp-23251,KBr
mp-8430,KLiS
mp-13109,SrHfO3
mp-23209,SrCl2
mp-19717,TePb
mp-4406,CaSO4
mp-22988,CsGeCl3
mp-12444,SrCuSF
mp-1039,MgTe
mp-989548,Rb2NaTlF6
mp-36066,PNO
mp-6492,Ba2YSbO6
mp-20027,FeP2
mp-28626,LaSO
mp-29529,NaSnP
mp-1565,ZrO2
mp-569442,RbAuCl4
mp-616378,CsSnI3
mp-7060,LaZnPO
mp-1009084,BeSnAs2
mp-1018096,Ba2NF
mp-4200,ScPO4
mp-23870,NaH
mp-22925,AgI
mp-5928,Al2CdS4
mp-27869,Ba2PCl
mp-754517,SrCa2I6
mp-22875,TlBr
mp-3834,BaZrO3
mp-552934,Ba2CuBrO2
mp-9144,LiAsF6
mp-27385,KTlCl4
mp-36582,NaHS
mp-3731,LiNbO3
mp-1029,BaF2
mp-961682,TiSnPd
mp-989538,Cs2InBiF6
mp-4531,NaNO3
mp-972937,ScAlCO
mp-9382,SrZrN2
mp-23860,SrHCl
mp-10155,P2Ir
mp-16763,KYTe2
mp-8622,Rb2PtSe2
mp-8963,Cs2HgF4
mp-13903,ZnSnF6
mp-23818,BaLiH3
mp-13055,Ba2LaTaO6
mp-23231,AgBr
mp-2176,ZnTe
mp-13800,Cs2NaTlF6
mp-37906,LiMgN
mp-8818,Ca2ZnN2
mp-2490,GaP
mp-989570,Cs2CaSnCl6
mp-12908,ScAgSe2
mp-1009733,Ca2Si
mp-22865,CsCl
mp-569346,CuI
mp-675230,NaLaS2
mp-13190,KRb2GaF6
mp-34293,CsTaN2
mp-5348,MgCO3
mp-989610,Cs2NaInH6
mp-2530,Li2Te
mp-9856,Cs2ZrSe3
mp-7421,KZnAs
mp-22905,LiCl
mp-470,GeO2
mp-22583,KInP2S7
mp-3595,ZnSiAs2
mp-4342,KNbO3
mp-8248,Rb2TeO3
mp-568052,K2Ga3
mp-998599,KCaBr3
mp-996962,LiAgO2
mp-2964,NaNO2
mp-568536,BaI2
mp-866141,TiFe2Si
mp-8145,RbScO2
mp-28377,CsGeI3
mp-23059,Rb2SnCl6
mp-7958,KLaO2
mp-4961,Na2HgO2
mp-5967,TiCoSb
mp-569677,Sr2IN
mp-8042,ZrGeO4
mp-5380,Ca4P2O
mp-998612,KGeBr3
mp-7438,KZnSb
mp-1008559,BP
mp-8943,PtF4
mp-487,MnP4
mp-28171,K3IO
mp-8280,Ba(MgAs)2
mp-8579,Ba(AgS)2
mp-1253,BaSe
mp-19799,BaPbF6
mp-7752,Sr3SbN
mp-384,MgP4
mp-11869,HfSnPd
mp-23804,Mg2FeH6
mp-752658,Y2SeO2
mp-841,Li2O2
mp-9564,Ca(MgAs)2
mp-7232,Cs2HgO2
mp-5132,YPO4
mp-4385,CdCO3
mp-1634,MoSe2
mp-978846,SnI2
mp-643260,Na2H4Pd
mp-239,BaS3
mp-862871,PbCl2
mp-28264,RbH3O2
mp-7470,RbCuO
mp-8188,KScO2
mp-998198,RbCaBr3
mp-867339,CsK2Bi
mp-22851,NaCl
mp-989514,Cs2NaSbCl6
mp-8857,Cs2As2Pd
mp-568661,Cd(InSe2)2
mp-626785,KHO
